ERCOT Ten-Year Energy Forecast							

CONTROL AREA				LOCATION			ACRONYM

Austin Energy				 Austin, TX 			AENX
American Electric Power Co.		 Columbus, OH 			AEPX
City Public Service			 San Antonio, TX 		CPST
Lower Colorado River Authority		 Austin, TX 			LCRA
Brownsville Public Utilities Board	 Brownsville, TX 		BPUB
Reliant Energy				 Houston, TX 			REIT
South Texas Electric Cooperative	 Nursery, TX 			STEC
Texas Municipal Power Pool		 Waco, TX 			TMPP
Texas-New Mexico Power Co.		 League City, TX 		TNMP
TXU Electric Co.			 Dallas, TX 			TUET



	    2001            2002            2003            2004            2005            2006            2007            2008            2009            2010

AENX	 11,487,146 	 12,054,353 	 12,655,989 	 13,224,255 	 13,875,412 	 14,459,912 	 15,220,379 	 16,020,839 	 16,863,397 	 17,750,267 
AEPX	 33,700,079 	 33,558,821 	 34,360,936 	 35,367,086 	 36,398,955 	 37,527,399 	 38,200,643 	 38,896,279 	 39,615,616 	 40,360,059 
CPST	 18,241,720 	 18,906,375 	 19,638,326 	 20,384,546 	 21,090,473 	 21,840,268 	 22,651,839 	 23,493,568 	 24,366,575 	 25,272,023 
LCRA	 13,939,731 	 14,573,065 	 15,186,465 	 15,862,731 	 16,420,041 	 17,004,809 	 17,747,898 	 18,525,064 	 19,337,884 	 20,188,010 
BPUB	  1,090,788 	  2,914,693 	  3,167,675 	  3,300,204 	  3,473,774 	  3,722,681 	  4,002,787 	  4,303,566 	  4,553,799 	  4,770,703 
REIT	 71,387,709 	 69,132,540 	 70,468,639 	 72,408,872 	 73,927,644 	 75,535,225 	 75,973,783 	 76,414,887 	 76,858,552 	 77,304,793 
STEC	  1,817,862 	  1,988,673 	  2,081,590 	  2,163,923 	  2,268,191 	  2,378,456 	  2,517,857 	  2,665,431 	  2,821,657 	  2,987,043 
TMPP	  5,047,000 	  5,162,478 	  5,187,626 	  5,316,077 	  5,447,914 	  5,583,159 	  5,717,717 	  5,855,596 	  5,996,880 	  6,141,654 
TNMP	  5,003,807 	  5,566,063 	  6,098,530 	  6,283,146 	  6,451,796 	  6,757,704 	  7,121,611 	  7,505,419 	  7,910,222 	  8,337,174 
TUET	109,078,750 	112,762,457 	114,960,898 	117,983,842 	120,406,064 	123,099,109 	126,280,479 	129,544,329 	132,892,809 	136,328,123 
ERCOT	270,794,592 	276,619,518 	283,806,675 	292,294,681 	299,760,264 	307,908,721 	315,434,993 	323,224,979 	331,217,391 	339,439,849 

										
