ERCOT Summer Projected Demand							

CONTROL AREA				LOCATION			ACRONYM

Austin Energy				 Austin, TX 			AENX
American Electric Power Co.		 Columbus, OH 			AEPX
City Public Service			 San Antonio, TX 		CPST
Lower Colorado River Authority		 Austin, TX 			LCRA
Brownsville Public Utilities Board	 Brownsville, TX 		BPUB
Reliant Energy				 Houston, TX 			REIT
South Texas Electric Cooperative	 Nursery, TX 			STEC
Texas Municipal Power Pool		 Waco, TX 			TMPP
Texas-New Mexico Power Co.		 League City, TX 		TNMP
TXU Electric Co.			 Dallas, TX 			TUET



	 2001	 2002	 2003	 2004	 2005	 2006	 2007	 2008	 2009	 2010

AENX	 2414	 2526	 2608	 2688	 2788	 2854	 2951	 3052	 3156	 3263
AEPX	 6563	 6501	 6657	 6825	 7012	 7245	 7392	 7644	 7904	 8173
CPST	 3973	 4100	 4250	 4383	 4525	 4652	 4801	 4965	 5134	 5309
LCRA	 3051	 3200	 3343	 3489	 3623	 3759	 3920	 4053	 4191	 4334
BPUB	  231	  547	  600	  628	  664	  715	  772	  834	  886	  930
REIT	13647	13836	14071	14446	14718	14990	15274	15794	16332	16888
STEC	  376	  408	  426	  442	  462	  484	  510	  527	  545	  564
TMPP	 3104	 3196	 3305	 3413	 3546	 3681	 3813	 3943	 4077	 4216
TNMP	 1130	 1253	 1284	 1317	 1351	 1415	 1480	 1530	 1582	 1636
TUET	22270	23041	23586	24138	24790	25350	26015	26901	27817	28765
ERCOTL	56759	58608	60130	61769	63480	65145	66928	69244	71625	74078

										
