Hour_End,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,ERCOT
1/1/2013 1:00,7607.189871,1074.024285,1411.823159,763.0692419,10370.32292,2206.945802,4368.528687,883.0295003,28684.93347
1/1/2013 2:00,7389.267519,1035.18918,1403.601093,754.4259859,10153.94281,2160.082197,4233.63525,872.5322581,28002.67629
1/1/2013 3:00,7179.748411,1036.216739,1395.131213,746.2155149,9989.243532,2065.369913,4082.897707,868.9513336,27363.77436
1/1/2013 4:00,7039.692524,1032.777439,1395.593012,749.0287656,9947.855512,1991.151652,4010.524187,865.7990316,27032.42212
1/1/2013 5:00,6991.412764,1042.906443,1401.239529,757.1482027,10097.44423,1954.963942,4038.678495,879.9880537,27163.78166
1/1/2013 6:00,7050.730776,1069.287247,1419.560417,777.7672744,10472.12636,1962.075516,4174.051823,911.2216062,27836.82102
1/1/2013 7:00,7177.787185,1109.144414,1444.433493,793.0979399,10891.2179,1994.508608,4360.986132,950.8087568,28721.98443
1/1/2013 8:00,7223.212565,1148.8011,1463.206806,812.5976329,11190.20403,2041.973753,4522.131024,989.5943982,29391.72131
1/1/2013 9:00,7314.252182,1196.97892,1474.815213,839.6314297,11627.12738,2131.511808,4688.32932,1021.131856,30293.77811
1/1/2013 10:00,7676.346695,1235.794003,1500.768852,869.1221223,12310.00187,2249.820265,4992.417192,1048.011113,31882.28211
1/1/2013 11:00,8060.501026,1304.764606,1507.661157,892.0020592,12934.07532,2341.622665,5270.257551,1048.630792,33359.51517
1/1/2013 12:00,8392.923703,1342.006129,1489.895193,903.3687178,13200.6645,2390.568518,5427.140277,1040.218477,34186.78552
1/1/2013 13:00,8509.461536,1328.536604,1467.307813,894.4005878,13062.53685,2419.73104,5449.879563,1023.268212,34155.12221
1/1/2013 14:00,8498.6659,1319.998691,1439.349313,880.9760702,12851.46507,2392.344954,5401.362452,996.913376,33781.07583
1/1/2013 15:00,8467.196629,1296.761683,1419.860015,869.59974,12725.03747,2359.475252,5287.74147,974.9668733,33400.63914
