Hour Ending,COAST,EAST,FWEST,NORTH,NCENT,SOUTH,SCENT,WEST,ERCOT
1/1/2017 1:00,"8,791.79",896.75,"1,997.72",683.62,"9,239.15","2,366.63","4,490.78",954.19,"29,420.64"
1/1/2017 2:00,"8,569.71",865.93,"1,997.78",677.97,"9,105.00","2,332.74","4,370.66",951.03,"28,870.81"
1/1/2017 3:00,"8,326.43",839.05,"1,993.70",672,"8,988.04","2,237.51","4,210.65",944.36,"28,211.72"
1/1/2017 4:00,"8,137.50",822.83,"1,995.54",675.27,"8,979.15","2,178.10","4,088.71",943.19,"27,820.29"
1/1/2017 5:00,"8,011.87",814.02,"1,995.25",663.62,"9,033.55","2,133.95","4,021.76",954.94,"27,628.96"
1/1/2017 6:00,"7,978.10",823.42,"1,981.35",669.75,"9,195.16","2,122.02","4,045.30",972.56,"27,787.66"
1/1/2017 7:00,"8,057.12",844.95,"1,983.28",684.49,"9,507.35","2,146.56","4,156.67",993.64,"28,374.06"
1/1/2017 8:00,"8,125.76",874.58,"2,015.31",710.23,"9,881.60","2,137.65","4,286.08","1,019.34","29,050.55"
1/1/2017 9:00,"8,289.16",919.26,"2,008.25",728.17,"10,215.31","2,185.33","4,441.36","1,033.34","29,820.17"
1/1/2017 10:00,"8,646.52",956.21,"2,024.82",727.77,"10,566.14","2,305.30","4,604.24","1,017.39","30,848.39"
1/1/2017 11:00,"8,978.80",967.68,"2,018.11",716.57,"10,712.37","2,434.99","4,684.37",987.11,"31,500.00"
1/1/2017 12:00,"9,315.57",982.3,"2,017.95",702.53,"10,650.56","2,580.52","4,772.02",958.7,"31,980.15"
1/1/2017 13:00,"9,617.40",991.87,"2,015.26",687.07,"10,447.37","2,711.91","4,857.10",944.49,"32,272.47"
1/1/2017 14:00,"9,837.89",991.42,"2,003.09",671.27,"10,139.17","2,812.93","4,936.70",938.31,"32,330.78"
1/1/2017 15:00,"9,957.58",984.59,"2,000.15",655.48,"9,846.55","2,887.16","5,008.46",933.86,"32,273.82"
1/1/2017 16:00,"9,987.94",986.1,"1,993.03",651.88,"9,711.29","2,937.56","5,085.19",935.2,"32,288.18"
1/1/2017 17:00,"9,943.90",992.39,"1,996.43",656.84,"9,691.93","2,944.81","5,158.53",935.86,"32,320.68"
1/1/2017 18:00,"10,181.01","1,046.64","2,010.45",689.52,"10,172.87","2,935.55","5,311.27",951.01,"33,298.33"
1/1/2017 19:00,"10,583.51","1,101.34","2,072.18",722.72,"10,841.28","3,079.74","5,683.43","1,007.21","35,091.41"
1/1/2017 20:00,"10,451.01","1,091.24","2,082.85",717.77,"10,772.99","3,048.98","5,630.11","1,011.36","34,806.31"
1/1/2017 21:00,"10,230.59","1,067.07","2,078.94",707.38,"10,547.20","2,976.88","5,462.09",991.23,"34,061.38"
1/1/2017 22:00,"10,014.83","1,028.18","2,064.67",689.78,"10,255.37","2,897.08","5,245.20",966.24,"33,161.34"
1/1/2017 23:00,"9,667.71",972.07,"2,043.00",658.19,"9,736.22","2,789.27","4,925.26",920.25,"31,711.97"
1/2/2017 0:00,"9,287.70",907.88,"2,025.36",629.61,"9,152.37","2,651.38","4,569.61",884.61,"30,108.53"
1/2/2017 1:00,"8,836.83",860.94,"1,999.53",609.44,"8,568.22","2,496.37","4,252.44",882.15,"28,505.90"
1/2/2017 2:00,"8,588.17",825.61,"2,002.33",595.98,"8,163.60","2,395.27","4,057.97",859.63,"27,488.56"
1/2/2017 3:00,"8,480.78",808.31,"2,006.88",592.78,"7,917.04","2,322.75","3,939.56",851.11,"26,919.20"
1/2/2017 4:00,"8,506.02",806.16,"2,020.30",593.53,"7,850.37","2,288.87","3,917.01",850.29,"26,832.56"
1/2/2017 5:00,"8,644.70",814.8,"2,053.65",605.85,"7,966.76","2,283.87","3,965.03",860.01,"27,194.66"
1/2/2017 6:00,"8,887.00",844.26,"2,070.96",624.76,"8,324.10","2,329.97","4,112.27",894.31,"28,087.62"
1/2/2017 7:00,"9,176.47",892.24,"2,114.55",653.36,"8,843.18","2,437.71","4,348.90",955.47,"29,421.88"
1/2/2017 8:00,"9,323.77",930.93,"2,159.57",681.9,"9,260.58","2,470.54","4,530.61","1,007.58","30,365.47"
1/2/2017 9:00,"9,559.88",965.85,"2,142.81",697.39,"9,647.07","2,558.89","4,733.23","1,018.46","31,323.57"
1/2/2017 10:00,"9,602.69","1,006.96","2,154.65",704.14,"10,050.67","2,740.07","4,997.49","1,022.92","32,279.59"
1/2/2017 11:00,"9,793.86","1,036.12","2,152.66",702.9,"10,354.20","2,955.95","5,224.56","1,019.43","33,239.66"
1/2/2017 12:00,"10,114.71","1,059.88","2,148.33",698.54,"10,522.66","3,158.12","5,359.18","1,003.27","34,064.69"
1/2/2017 13:00,"10,411.55","1,073.82","2,134.81",687.05,"10,553.47","3,309.52","5,409.59",987.08,"34,566.90"
1/2/2017 14:00,"10,689.01","1,087.74","2,125.34",679.78,"10,552.67","3,424.74","5,486.77",983.34,"35,029.39"
1/2/2017 15:00,"10,937.07","1,093.32","2,116.68",674.6,"10,527.73","3,520.31","5,554.63",980.69,"35,405.03"
1/2/2017 16:00,"11,036.95","1,084.86","2,102.75",673.09,"10,538.87","3,552.09","5,615.69",981.58,"35,585.88"
1/2/2017 17:00,"10,931.45","1,085.67","2,101.09",675.05,"10,558.38","3,493.31","5,679.59",983.64,"35,508.17"
1/2/2017 18:00,"10,859.02","1,121.15","2,110.95",709.4,"10,963.29","3,354.29","5,774.19",998.47,"35,890.77"
1/2/2017 19:00,"11,112.06","1,179.02","2,195.89",750.94,"11,631.04","3,383.39","6,100.86","1,058.91","37,412.10"
1/2/2017 20:00,"10,893.92","1,160.04","2,225.08",746.6,"11,517.76","3,306.93","6,003.13","1,067.85","36,921.31"
1/2/2017 21:00,"10,594.16","1,132.78","2,227.69",734.94,"11,226.33","3,173.90","5,801.72","1,052.06","35,943.58"
1/2/2017 22:00,"10,196.74","1,086.19","2,210.55",706.97,"10,766.32","3,018.43","5,495.22","1,027.81","34,508.23"
1/2/2017 23:00,"9,568.08","1,008.90","2,172.23",667.77,"9,983.13","2,827.17","5,077.27",978.75,"32,283.30"
1/3/2017 0:00,"8,935.49",928.88,"2,127.65",631.24,"9,132.16","2,584.82","4,622.99",935.05,"29,898.29"
1/3/2017 1:00,"8,516.59",903.05,"2,076.28",618.6,"8,581.18","2,353.14","4,319.18",901.62,"28,269.64"
