"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-01-01","0.00","0.0","0.0","47","50","44"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-01-02","0.22","0.0","0.0","46","48","43"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-01-03","0.00","0.0","0.0","48","61","33"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-01-04","0.00","0.0","0.0","44","58","32"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-01-05","0.00","0.0","0.0","41","57","29"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-01-06","0.64","0.0","0.0","49","53","46"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-01-07","0.00","0.0","0.0","56","72","49"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-01-08","0.00","0.0","0.0","52","66","37"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-01-09","0.00","0.0","0.0","53","60","39"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-01-10","0.00","0.0","0.0","40","50","31"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-01-11","0.00","0.0","0.0","41","57","30"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-01-12","0.00","0.0","0.0","44","65","31"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-01-13","0.00","0.0","0.0","46","66","29"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-01-14","0.00","0.0","0.0","54","71","41"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-01-15","0.00","0.0","0.0","58","70","37"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-01-16","0.01","0.0","0.0","47","64","36"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-01-17","0.00","0.0","0.0","44","57","26"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-01-18","0.00","0.0","0.0","42","58","29"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-01-19","0.00","0.0","0.0","49","70","33"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-01-20","0.00","0.0","0.0","51","56","44"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-01-21","0.01","0.0","0.0","56","66","41"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-01-22","0.00","0.0","0.0","46","55","28"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-01-23","0.00","0.0","0.0","40","58","25"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-01-24","0.00","0.0","0.0","46","70","27"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-01-25","0.00","0.0","0.0","62","73","48"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-01-26","0.16","0.0","0.0","52","57","43"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-01-27","0.00","0.0","0.0","47","58","32"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-01-28","0.00","0.0","0.0","45","72","27"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-01-29","0.00","0.0","0.0","51","75","31"
"USW00013904","AUSTIN BERGSTROM INTERNATIONAL AIRPORT, TX US","2016-01-30","0.00","0.0","0.0","58","77","37"
