,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
0,2016-01-01,0.0,0.0,0.0,47,50,44
1,2016-01-02,0.22,0.0,0.0,46,48,43
2,2016-01-03,0.0,0.0,0.0,48,61,33
3,2016-01-04,0.0,0.0,0.0,44,58,32
4,2016-01-05,0.0,0.0,0.0,41,57,29
5,2016-01-06,0.64,0.0,0.0,49,53,46
6,2016-01-07,0.0,0.0,0.0,56,72,49
7,2016-01-08,0.0,0.0,0.0,52,66,37
8,2016-01-09,0.0,0.0,0.0,53,60,39
9,2016-01-10,0.0,0.0,0.0,40,50,31
10,2016-01-11,0.0,0.0,0.0,41,57,30
11,2016-01-12,0.0,0.0,0.0,44,65,31
12,2016-01-13,0.0,0.0,0.0,46,66,29
13,2016-01-14,0.0,0.0,0.0,54,71,41
14,2016-01-15,0.0,0.0,0.0,58,70,37
15,2016-01-16,0.01,0.0,0.0,47,64,36
16,2016-01-17,0.0,0.0,0.0,44,57,26
17,2016-01-18,0.0,0.0,0.0,42,58,29
18,2016-01-19,0.0,0.0,0.0,49,70,33
19,2016-01-20,0.0,0.0,0.0,51,56,44
20,2016-01-21,0.01,0.0,0.0,56,66,41
21,2016-01-22,0.0,0.0,0.0,46,55,28
22,2016-01-23,0.0,0.0,0.0,40,58,25
23,2016-01-24,0.0,0.0,0.0,46,70,27
24,2016-01-25,0.0,0.0,0.0,62,73,48
25,2016-01-26,0.16,0.0,0.0,52,57,43
26,2016-01-27,0.0,0.0,0.0,47,58,32
27,2016-01-28,0.0,0.0,0.0,45,72,27
28,2016-01-29,0.0,0.0,0.0,51,75,31
29,2016-01-30,0.0,0.0,0.0,58,77,37
30,2016-01-31,0.0,0.0,0.0,66,80,50
31,2016-02-01,0.0,0.0,0.0,61,78,44
32,2016-02-02,0.0,0.0,0.0,64,72,42
33,2016-02-03,0.0,0.0,0.0,49,59,30
34,2016-02-04,0.0,0.0,0.0,42,58,28
35,2016-02-05,0.0,0.0,0.0,42,61,23
36,2016-02-06,0.0,0.0,0.0,52,61,32
37,2016-02-07,0.0,0.0,0.0,44,66,26
38,2016-02-08,0.0,0.0,0.0,52,65,36
